area,bedrooms,bathrooms,stories,parking,location,age,price
654,4,3,3,2,Urban,17,166657
2662,5,2,1,1,Rural,44,301036
749,3,2,1,2,Suburban,12,137698
2193,4,2,1,2,Urban,20,292484
2912,2,1,3,0,Rural,15,322459
832,2,1,1,2,Suburban,33,105517
3495,5,1,1,0,Urban,25,414005
3678,1,1,1,3,Urban,10,415447
1624,1,2,3,1,Urban,17,219912
667,3,3,1,3,Suburban,18,139577
1501,2,2,3,1,Suburban,13,208194
1740,1,2,3,3,Rural,34,198056
813,2,3,1,0,Suburban,6,135207
3114,1,1,3,2,Urban,42,334440
1891,1,3,3,3,Rural,0,262817
1096,1,4,3,2,Rural,24,163008
3514,2,1,2,3,Rural,10,400399
2532,4,4,1,0,Rural,25,306983
3794,5,2,1,3,Suburban,43,434827
1045,4,4,1,2,Suburban,42,160621
3894,5,1,1,3,Rural,27,438866
2096,1,2,3,2,Suburban,32,245353
1318,2,3,3,2,Suburban,29,188021
1170,2,4,3,0,Urban,38,174362
3426,1,3,1,0,Rural,0,382395
3716,3,1,3,1,Rural,13,422688
1461,4,2,2,2,Urban,27,222790
1819,2,3,2,3,Rural,10,248863
3381,2,4,1,1,Suburban,3,407872
1418,3,3,3,2,Suburban,27,210202
2371,2,1,2,3,Rural,43,254683
1664,3,3,2,1,Rural,42,201284
1757,5,4,3,3,Urban,3,310683
1450,5,2,1,1,Suburban,11,222464
2790,5,4,2,1,Urban,49,349378
3926,3,1,1,1,Suburban,11,437201
2439,5,1,2,2,Suburban,22,316777
2733,2,3,2,2,Rural,7,329428
826,4,4,3,0,Rural,17,160916
2271,1,3,1,1,Suburban,17,262011
2900,5,1,3,0,Suburban,9,370856
3405,3,4,3,3,Rural,12,421885
918,4,3,2,2,Urban,44,158712
2042,1,2,3,0,Rural,44,205643
1729,5,4,2,0,Rural,30,235567
3264,5,2,1,3,Rural,32,384672
797,5,4,1,3,Suburban,4,189121
3051,1,1,3,0,Suburban,37,318723
3874,4,1,1,0,Urban,10,453244
3166,4,1,1,2,Rural,18,366937
1866,3,2,1,0,Rural,27,212955
1213,2,1,1,3,Rural,26,141867
1664,4,4,1,0,Suburban,45,213238
659,2,3,1,3,Rural,25,107073
1542,2,4,3,0,Suburban,16,222113
2114,3,2,3,3,Suburban,17,281438
2480,4,1,1,1,Rural,20,292357
2182,3,4,1,2,Suburban,5,306584
1627,3,1,3,1,Urban,41,208321
3294,3,3,3,2,Suburban,46,376170
3414,5,4,3,3,Urban,24,458572
840,1,3,1,0,Urban,2,139067
1380,3,1,2,0,Rural,43,143780
2043,1,3,3,1,Suburban,20,256602
3006,5,4,3,2,Urban,21,412354
3159,4,1,3,1,Rural,34,355316
692,2,4,3,0,Suburban,10,143621
2750,4,3,3,1,Rural,29,332171
763,5,4,2,1,Suburban,35,151885
3433,2,4,2,2,Rural,50,365278
1104,5,4,1,2,Urban,5,229121
3791,1,1,3,3,Rural,50,384390
3735,4,1,1,0,Suburban,29,411632
3921,3,4,2,1,Rural,41,433289
1404,4,1,1,3,Suburban,3,215895
2608,2,2,1,0,Suburban,50,264902
1463,2,2,1,3,Suburban,1,211117
3671,1,1,3,3,Urban,14,428892
2152,2,1,3,1,Rural,15,252890
1818,4,1,3,0,Urban,49,219383
3846,1,1,1,0,Urban,42,382634
2352,2,2,2,1,Rural,37,253150
3429,2,3,1,0,Suburban,3,405690
1433,3,1,3,2,Urban,3,226969
2350,3,1,3,0,Urban,48,263996
1671,3,2,2,3,Rural,28,213437
1203,1,3,3,0,Suburban,49,135312
3939,4,3,3,2,Rural,41,445302
739,4,2,2,2,Urban,45,125226
3574,4,2,1,1,Suburban,44,392369
604,4,2,2,3,Rural,45,97400
1519,3,1,3,1,Rural,16,197261
3722,5,1,2,0,Urban,45,414950
1458,5,4,1,2,Urban,29,231461
1334,2,2,2,3,Urban,49,165772
3686,4,4,1,3,Urban,20,461022
3117,5,3,3,1,Urban,34,399807
2999,4,3,2,1,Rural,0,382236
1113,1,2,3,2,Suburban,40,141456
1168,5,2,2,1,Urban,21,205449
2028,2,1,2,3,Rural,36,225108
1529,3,2,3,1,Urban,31,209589
628,4,1,3,1,Suburban,13,131674
3786,2,4,3,3,Suburban,20,461285
3714,4,1,1,0,Suburban,39,400465
3457,3,4,3,2,Rural,44,392360
1043,4,3,3,2,Suburban,0,210874
2295,3,4,3,1,Suburban,30,297834
887,4,3,2,2,Urban,36,158584
3740,1,2,3,2,Rural,34,396793
1424,1,1,1,1,Urban,34,157546
3401,2,1,2,3,Suburban,12,394249
2069,2,3,2,3,Rural,38,246115
3328,1,3,1,1,Urban,43,356145
1969,3,3,2,2,Suburban,2,281085
1167,4,3,1,0,Urban,21,181808
3010,2,2,1,1,Urban,43,324384
3514,2,2,3,3,Rural,0,421957
1125,2,1,3,0,Urban,32,152259
1285,3,3,3,2,Rural,21,195496
1791,5,3,1,2,Suburban,33,247601
3975,5,3,1,1,Rural,44,444438
954,1,1,1,1,Rural,38,86081
1805,3,4,1,2,Urban,15,265777
3550,5,3,1,2,Urban,26,441272
750,2,3,1,3,Suburban,1,145033
3842,5,4,1,2,Suburban,25,471767
2408,5,4,1,0,Rural,26,299256
1630,5,4,3,0,Suburban,13,258551
1363,4,2,2,3,Urban,15,225099
3737,4,4,1,0,Rural,13,436389
3841,4,2,2,2,Rural,2,465190
2246,4,1,3,1,Urban,44,270331
1250,2,4,1,3,Suburban,27,181277
3519,1,2,1,1,Urban,16,396669
945,1,2,3,1,Rural,42,105657
3253,4,3,1,2,Rural,50,357811
3832,3,4,2,1,Urban,14,466023
2336,5,4,1,3,Urban,20,339769
3052,1,4,3,1,Rural,37,338624
2560,2,1,1,0,Rural,39,256631
2038,1,1,2,3,Suburban,10,250287
2713,5,2,1,2,Urban,46,324324
2632,4,3,3,1,Urban,46,323035
3949,4,2,2,3,Suburban,22,464174
2643,5,1,1,0,Urban,18,331332
3807,2,1,1,1,Rural,5,417540
3262,4,3,1,1,Suburban,11,399108
1331,3,4,2,0,Urban,16,208766
2168,1,3,2,3,Urban,20,278085
1967,1,3,3,0,Urban,21,252535
601,3,2,3,3,Urban,6,155410
829,2,4,1,2,Urban,37,134320
948,3,3,1,2,Suburban,13,161428
3227,4,4,3,2,Suburban,29,405874
3081,1,1,1,1,Rural,0,336775
1689,2,1,1,1,Suburban,13,203354
2900,4,3,3,0,Rural,1,378868
1225,1,1,2,3,Suburban,16,159677
960,4,4,3,0,Urban,9,199962
2655,4,4,1,3,Rural,42,317783
2919,2,1,3,0,Urban,24,336351
2313,2,1,1,0,Suburban,24,254498
3253,1,3,3,0,Rural,35,345398
1056,2,1,2,3,Suburban,15,158906
1671,4,2,2,3,Urban,18,251020
3715,4,4,2,3,Urban,10,480569
1079,5,2,3,0,Suburban,16,189799
1456,4,4,3,0,Suburban,17,231162
2851,2,1,2,3,Rural,29,313858
2640,2,4,2,1,Rural,3,330916
3507,5,1,3,2,Suburban,26,424394
1676,3,4,1,3,Rural,2,250473
1761,1,4,1,0,Rural,16,205517
823,5,1,1,0,Urban,23,146804
719,1,1,2,1,Urban,47,86616
2894,3,3,1,0,Urban,17,354686
2128,4,1,1,1,Rural,38,235156
1743,2,4,1,0,Suburban,35,208949
3821,2,4,2,2,Suburban,31,440170
3846,4,4,2,0,Urban,13,480141
1744,3,3,3,1,Urban,7,270082
3430,5,2,2,0,Urban,20,423197
3014,4,4,2,0,Rural,29,359319
2127,5,1,1,1,Suburban,7,282997
998,1,3,3,2,Rural,48,119647
3973,1,3,2,0,Rural,30,414901
1584,1,1,2,1,Suburban,27,179923
3522,4,1,1,2,Urban,33,402986
1605,3,4,3,2,Urban,39,236583
3388,1,1,1,1,Rural,10,356623
2624,5,3,3,1,Suburban,28,344058
2505,3,3,1,0,Urban,3,327069
844,3,2,1,0,Urban,9,145348
2718,5,3,3,2,Urban,16,380532
1311,4,3,2,3,Suburban,15,214471
3963,5,4,2,0,Urban,28,480884
677,1,4,2,0,Rural,12,109284
2289,2,2,3,3,Urban,27,289746
3677,1,2,3,0,Urban,45,392938
1479,3,1,2,3,Rural,49,165632
2281,1,2,2,1,Urban,43,248389
1328,2,3,3,2,Urban,0,230296
1691,2,4,3,2,Rural,45,209915
3988,2,4,1,0,Suburban,0,469124
603,1,2,1,2,Urban,8,114547
1868,1,2,2,3,Urban,28,232555
1463,5,3,3,1,Suburban,37,216473
2784,2,1,2,1,Suburban,1,331167
1782,4,4,1,1,Rural,46,213160
822,2,4,3,2,Rural,21,145528
2558,3,1,3,3,Urban,16,330652
2424,3,1,1,3,Suburban,19,292792
2738,5,4,3,3,Rural,4,385601
2766,2,1,2,2,Urban,31,318360
2937,1,2,1,1,Rural,19,312359
831,5,3,2,0,Urban,50,138167
3502,1,4,2,2,Rural,37,378765
2766,4,1,1,0,Suburban,8,331360
3417,2,3,3,2,Suburban,24,399999
2909,1,3,1,3,Rural,6,340968
2935,1,1,2,1,Urban,47,307773
2412,2,2,1,0,Urban,49,256347
3710,4,2,1,3,Suburban,18,439738
3747,5,4,3,2,Suburban,0,494854
3726,4,4,2,1,Rural,25,443052
2480,1,1,1,1,Urban,20,274123
3847,5,3,3,0,Rural,37,447144
3753,2,4,3,1,Urban,27,442786
3388,2,4,1,0,Suburban,23,386104
2085,4,1,2,2,Urban,2,297110
3469,4,4,1,1,Rural,20,407433
1099,4,1,1,2,Rural,31,144547
3319,3,4,1,1,Urban,42,378997
1267,2,1,2,3,Rural,11,170017
2431,4,4,1,3,Suburban,30,320809
1860,3,2,2,3,Suburban,44,230165
1609,1,4,2,0,Suburban,36,189229
1393,2,4,3,3,Urban,7,240356
3010,3,4,1,1,Rural,44,329377
1828,1,1,3,2,Urban,7,242699
3939,3,4,1,3,Rural,11,469767
1532,3,4,2,2,Suburban,23,228540
2862,4,1,2,1,Rural,26,329336
1468,5,1,1,2,Suburban,8,219683
677,1,1,3,3,Suburban,23,108487
1191,2,4,1,2,Urban,48,155159
1348,2,4,2,2,Urban,28,197838
3506,4,1,3,1,Rural,6,415872
1795,5,1,2,3,Urban,42,246130
3579,3,1,1,3,Suburban,7,419215
2803,3,2,2,0,Suburban,44,306741
1199,4,4,3,3,Suburban,47,189063
3670,4,1,1,2,Suburban,32,410081
1998,1,1,2,1,Rural,4,233229
3365,2,4,3,1,Rural,24,388388
3850,5,3,1,3,Urban,24,472174
1536,4,2,1,1,Suburban,19,213734
600,2,1,3,0,Urban,36,94573
1809,1,3,1,0,Suburban,48,185268
3682,5,4,3,2,Suburban,27,465419
2854,4,1,1,1,Suburban,49,304596
1461,1,3,1,3,Rural,9,190352
1905,2,3,2,3,Rural,23,241638
1762,1,2,1,3,Rural,35,193253
3070,5,3,1,0,Urban,19,386018
2632,1,2,2,3,Rural,12,303724
3964,4,3,3,1,Urban,10,499341
1135,1,2,3,0,Rural,6,156762
717,3,3,1,0,Rural,21,115414
3481,4,4,3,1,Rural,34,415787
3345,2,2,3,0,Urban,15,399147
3284,5,3,3,1,Urban,2,447798
2366,2,1,3,2,Urban,8,310613
3872,1,2,1,1,Suburban,45,389517
1192,1,1,2,3,Urban,22,168513
1609,5,2,3,0,Urban,38,226741
2002,4,1,3,1,Rural,6,271744
3528,4,4,1,1,Rural,41,399643
3958,1,1,3,2,Urban,40,426628
3085,1,3,2,1,Rural,2,361208
1812,3,2,1,1,Urban,42,213579
2110,5,1,3,3,Rural,38,262485
3302,3,3,1,1,Suburban,4,406159
2218,3,2,2,1,Rural,5,286713
3700,3,1,3,3,Rural,20,421149
1272,1,3,3,1,Rural,32,155186
2371,4,2,2,3,Suburban,36,295483
3866,1,2,3,1,Rural,2,433415
2015,3,2,2,1,Suburban,33,242108
1565,1,4,3,3,Suburban,42,207275
2131,5,4,2,0,Suburban,19,302186
2913,1,3,2,1,Suburban,19,331948
1103,3,3,3,2,Rural,24,174670
3658,2,4,1,2,Suburban,31,413064
3040,2,1,1,2,Urban,5,367865
3208,3,2,3,0,Rural,7,384859
3121,1,3,1,3,Rural,1,365475
3487,5,4,3,3,Suburban,19,461959
1316,3,4,2,0,Urban,42,180662
2603,5,1,2,0,Rural,42,286883
2007,4,1,2,3,Suburban,48,239558
2752,4,1,3,3,Suburban,12,353012
1367,3,1,1,1,Suburban,1,196190
1084,3,1,3,0,Rural,7,159861
1070,2,1,2,1,Rural,25,128118
3973,2,1,1,1,Rural,41,391341
1415,2,1,2,3,Urban,12,207982
3694,5,2,3,3,Rural,23,452589
1607,3,4,3,3,Urban,24,257814
1478,5,4,1,1,Suburban,5,251489
1295,3,4,2,2,Suburban,37,188430
1731,4,3,3,3,Suburban,22,258244
1593,4,3,1,0,Suburban,31,209089
3584,2,1,3,0,Rural,25,386668
2135,5,4,1,2,Rural,28,288954
1839,1,4,2,0,Suburban,13,234278
3224,3,1,3,3,Rural,26,372959
1676,2,2,3,3,Suburban,35,214435
2055,4,2,1,0,Rural,24,239576
3175,2,2,3,1,Rural,14,367649
3202,3,1,3,0,Rural,43,332698
3100,3,4,3,0,Urban,14,398012
1343,5,1,3,1,Rural,28,193146
3995,2,3,1,0,Rural,29,416518
2653,3,3,3,1,Suburban,25,334360
705,1,3,2,0,Rural,32,82849
1444,3,3,3,0,Rural,44,179112
902,5,4,3,0,Suburban,1,197682
3038,2,2,1,1,Urban,39,337020
974,4,4,3,1,Rural,40,159683
2328,2,1,2,2,Suburban,22,267885
3633,4,4,1,0,Urban,28,436009
3199,5,2,1,1,Suburban,49,361342
2671,2,4,2,0,Urban,14,343222
803,1,2,1,2,Rural,42,78889
3172,3,4,3,1,Suburban,20,393258
2634,2,1,3,1,Rural,0,315972
2271,2,3,3,2,Urban,30,294668
3601,4,1,1,2,Rural,48,378650
2754,4,2,1,3,Suburban,27,334809
1771,2,4,3,1,Urban,5,266481
3802,5,1,1,1,Suburban,26,437523
3141,1,2,1,3,Rural,46,315955
2879,5,3,1,1,Rural,9,362258
1738,4,1,2,2,Rural,5,238462
1367,4,2,2,0,Urban,16,215213
3777,3,2,2,2,Urban,27,440840
1990,2,1,1,1,Rural,13,224673
1056,3,1,2,2,Urban,45,144138
2326,5,1,2,3,Rural,9,307498
2161,1,2,2,0,Suburban,29,237969
2637,5,4,1,0,Urban,19,356412
3394,2,3,2,0,Urban,6,407888
3929,1,1,1,2,Rural,21,411413
3219,3,3,1,1,Suburban,36,360545
3406,3,3,2,1,Suburban,28,393821
2335,5,2,1,0,Suburban,43,275750
3862,5,1,2,3,Suburban,4,477926
696,3,2,3,3,Urban,23,150829
3303,1,4,2,3,Suburban,39,369566
2668,5,1,1,2,Rural,40,297386
2966,4,2,3,2,Urban,14,386178
3485,4,4,2,2,Suburban,25,433328
2305,2,4,3,3,Rural,45,273778
3797,4,1,3,1,Rural,47,402124
1952,3,2,2,2,Rural,2,263855
1820,3,3,1,2,Rural,16,235188
1181,5,3,3,3,Urban,7,240551
1336,1,1,2,0,Rural,45,123319
834,2,1,1,2,Rural,26,101395
1057,2,2,3,0,Suburban,49,122907
716,2,1,2,0,Urban,6,125723
1350,3,3,1,0,Urban,11,202815
1985,3,1,1,1,Urban,25,241251
1624,1,4,2,2,Urban,27,216760
2090,3,4,2,1,Suburban,41,257866
3750,3,2,2,1,Urban,18,445581
749,5,1,1,3,Rural,0,154022
1393,1,4,2,2,Suburban,26,185374
1169,1,2,1,3,Rural,0,165416
3475,5,4,1,3,Suburban,50,413446
728,1,4,1,3,Suburban,28,122082
1198,1,2,3,0,Suburban,45,130536
3941,5,3,2,1,Rural,30,455275
1552,5,1,1,0,Suburban,1,228572
2155,4,1,2,3,Urban,42,273551
3892,1,3,3,3,Suburban,27,445167
2004,2,3,1,1,Suburban,24,246552
3397,2,4,3,1,Rural,20,393150
3565,4,1,3,1,Rural,1,430691
3988,5,2,3,0,Rural,9,472367
3219,5,1,3,3,Suburban,37,388515
874,4,2,2,2,Suburban,45,129333
3205,2,3,1,0,Urban,20,367341
1957,5,3,1,1,Rural,20,261160
787,4,4,3,1,Rural,14,166507
1244,4,3,1,1,Suburban,11,198428
3893,2,2,2,2,Suburban,20,437988
1712,1,4,1,2,Suburban,11,230992
2866,1,3,3,3,Rural,50,307880
1927,1,2,3,1,Urban,24,243411
2481,2,2,1,1,Suburban,42,263524
3054,3,2,3,1,Urban,40,353135
2089,2,2,2,2,Urban,26,259543
2421,4,3,3,1,Suburban,3,339007
2459,2,3,2,2,Suburban,0,321441
1581,2,4,3,0,Suburban,21,223751
1368,2,2,1,1,Suburban,23,167264
3999,1,2,2,3,Suburban,12,449403
3197,5,1,3,0,Suburban,20,390627
3534,3,1,3,1,Rural,2,412694
3294,3,3,2,3,Suburban,50,367404
1622,3,1,1,1,Urban,1,233422
2712,5,4,2,1,Suburban,6,374482
1225,2,3,3,1,Rural,3,187361
3384,2,2,2,3,Suburban,15,398461
2245,2,1,3,2,Suburban,30,267171
3590,3,3,2,0,Rural,37,390716
799,1,4,2,0,Suburban,40,106492
3203,2,1,1,3,Rural,23,349151
1259,1,1,1,0,Suburban,50,107561
2898,3,2,2,2,Rural,30,327595
3061,5,3,1,2,Suburban,15,391344
2524,4,2,3,2,Rural,25,314333
2741,5,3,3,0,Suburban,16,360360
2846,5,1,3,2,Urban,9,382875
3434,1,3,2,1,Suburban,6,401539
1300,3,1,2,0,Rural,11,168679
3298,4,1,3,1,Rural,16,388493
3696,3,1,2,0,Urban,30,415359
3175,4,4,2,0,Urban,17,409279
3607,5,1,2,0,Rural,44,385446
779,1,1,2,0,Urban,30,101807
1308,3,2,2,0,Suburban,3,201284
927,5,2,1,0,Rural,8,160077
2780,2,1,1,3,Suburban,40,296552
2421,1,2,3,1,Urban,10,300592
1532,1,4,2,2,Rural,12,205222
2087,1,2,1,0,Suburban,44,207417
2234,2,2,2,0,Rural,21,254467
1146,1,3,3,2,Urban,4,200556
2438,4,3,3,0,Suburban,44,298670
2576,3,3,2,1,Rural,8,325427
2096,2,3,2,2,Rural,7,270039
1039,5,2,2,3,Suburban,4,209330
2204,1,1,2,0,Suburban,11,253295
2128,4,4,1,3,Urban,33,298104
2634,3,3,3,2,Rural,1,350696
3474,3,1,1,3,Rural,43,367526
1300,3,1,2,2,Urban,40,176039
925,3,2,2,2,Suburban,15,159922
3084,3,1,3,2,Rural,24,353821
2631,5,1,2,3,Urban,26,339323
3436,4,2,1,2,Urban,49,389344
2238,5,4,1,2,Rural,16,309803
3362,1,2,2,3,Suburban,30,367262
3862,2,3,3,1,Rural,25,434461
3213,5,4,1,1,Suburban,2,423948
1306,3,4,2,1,Rural,4,204331
1324,1,1,3,1,Rural,11,168672
2894,2,2,3,1,Rural,27,319943
3050,1,4,1,0,Urban,18,358684
1601,4,3,3,3,Suburban,29,238155
700,5,3,3,3,Rural,18,158589
3328,3,4,2,1,Suburban,38,390547
1673,1,1,3,0,Rural,15,191917
3819,4,1,3,0,Urban,39,429845
2072,3,4,3,3,Suburban,24,292316
3031,5,4,1,1,Suburban,42,363432
1651,1,3,2,0,Rural,27,188038
847,5,2,3,3,Rural,20,169056
2496,1,4,2,3,Urban,1,341463
1015,2,3,1,2,Urban,31,156289
2871,1,3,2,0,Urban,31,324694
2415,3,1,2,1,Urban,47,272080
2500,2,1,1,2,Suburban,1,299826
670,2,3,3,1,Suburban,14,136058
2737,2,4,1,2,Urban,44,318733
1624,5,3,1,0,Urban,20,243898
3171,2,2,1,3,Urban,49,344639
2207,2,3,3,1,Urban,37,272324
2641,3,3,3,0,Urban,26,328186
793,5,1,3,0,Suburban,41,124820
2757,3,3,2,0,Urban,28,334243
3559,4,1,3,1,Rural,26,399903
998,1,3,3,3,Urban,16,175462
1156,4,4,3,3,Urban,32,207098
2470,5,4,2,2,Suburban,42,318584
2769,5,3,1,1,Suburban,48,325616
3116,5,3,2,0,Rural,5,394201
3130,4,1,3,3,Suburban,38,365685
894,5,1,1,0,Suburban,50,113202
3100,4,1,3,3,Suburban,22,380956
3087,4,1,1,0,Rural,24,335508
3013,4,3,3,1,Rural,20,372924
3749,5,3,3,3,Suburban,34,464637
2476,1,4,3,1,Urban,26,306006
3972,1,2,1,0,Urban,34,415957
1323,3,2,3,0,Suburban,8,198559
2831,3,1,1,3,Rural,12,328642
2376,3,2,3,3,Suburban,8,316865
1565,1,3,1,2,Suburban,30,188757
3898,4,1,1,1,Urban,25,442081
1028,4,3,1,0,Rural,1,176662
2099,5,3,1,0,Rural,46,246249
3024,2,1,1,1,Suburban,37,312804
1107,5,1,1,0,Urban,32,162423
1618,3,2,1,1,Suburban,8,222164
603,3,2,2,2,Suburban,0,142283
3183,5,3,3,3,Suburban,38,398961
3795,1,4,1,3,Suburban,15,443195
2571,5,4,2,2,Urban,18,363139
3990,3,1,3,2,Rural,45,426749
1813,5,2,3,2,Urban,30,264693
2876,5,3,3,0,Suburban,8,385679
3598,3,3,2,2,Urban,32,429507
3276,1,3,1,0,Suburban,49,324800
2072,1,2,3,3,Urban,27,264625
1246,3,4,1,2,Rural,1,203193
1903,3,2,1,2,Suburban,49,217279
3845,4,4,2,0,Urban,41,445181
774,1,2,1,0,Rural,0,109329
1383,1,2,2,2,Suburban,45,155728
3821,5,4,3,1,Suburban,18,479590
2593,4,1,1,3,Suburban,14,321671
3498,5,2,2,0,Urban,41,412586
1806,2,3,3,3,Suburban,18,255825
1176,5,3,2,3,Suburban,7,223411
1389,3,1,3,1,Rural,11,190681
670,4,4,3,2,Urban,34,159610
746,1,3,1,2,Suburban,27,112621
3293,1,4,2,3,Suburban,0,412848
3499,3,1,3,1,Suburban,5,418181
2665,2,4,2,3,Suburban,21,337828
667,1,4,3,2,Urban,46,114843
2997,5,4,3,2,Urban,5,425686
1265,2,2,2,2,Urban,16,190519
3836,1,4,2,3,Suburban,6,457042
2792,5,2,2,1,Rural,24,339669
1984,3,1,1,1,Urban,17,249317
3522,3,3,2,1,Suburban,22,417107
1021,3,3,2,1,Suburban,21,161817
3082,3,4,2,0,Urban,15,393219
1586,2,3,2,0,Urban,0,234718
2451,5,1,1,0,Urban,20,308666
3334,4,1,2,3,Suburban,21,401894
2281,4,4,1,1,Urban,18,311172
1322,3,2,2,3,Urban,0,228603
2291,1,4,3,1,Suburban,11,297944
1148,2,3,2,0,Rural,16,158799
3452,5,3,1,2,Suburban,12,436109
2136,3,3,3,3,Urban,9,317620
903,4,1,2,3,Rural,24,144703
780,3,1,1,0,Rural,42,85734
1009,2,2,1,3,Urban,18,164122
3185,3,2,1,0,Suburban,23,355318
2700,4,3,2,3,Suburban,0,376773
3249,2,2,3,1,Suburban,30,371411
3158,5,4,2,1,Suburban,48,380536
1347,5,1,1,1,Urban,13,211791
2998,5,4,1,0,Urban,31,378695
3452,2,4,3,2,Rural,3,420435
2857,3,1,2,0,Urban,15,343994
3965,2,3,1,1,Rural,29,418596
2100,4,3,1,3,Suburban,28,278312
3076,2,3,3,0,Rural,1,370502
3303,5,4,1,1,Rural,24,395608
1052,2,1,2,1,Urban,2,169891
880,3,1,1,2,Suburban,17,136012
3704,2,1,1,0,Suburban,27,386070
3840,2,4,1,3,Urban,3,479082
2041,3,2,1,2,Urban,46,239896
1176,2,2,3,0,Urban,18,177890
2764,2,1,2,1,Rural,43,276965
3463,3,3,1,2,Suburban,39,389253
3997,2,4,3,0,Suburban,46,437421
1113,4,3,3,2,Rural,20,182970
2004,3,4,1,0,Suburban,21,259948
3840,3,2,3,2,Rural,11,451325
1772,1,3,1,2,Rural,50,178865
1742,3,3,3,2,Urban,3,271630
3946,2,4,1,2,Rural,35,426633
2136,4,4,1,3,Rural,6,306334
2722,1,4,3,3,Suburban,3,353563
3816,2,4,3,0,Urban,11,461171
2979,3,1,3,1,Suburban,41,326964
2882,4,4,3,1,Suburban,44,347768
3989,1,3,3,1,Urban,47,435323
3552,3,3,3,3,Urban,45,417646
3118,4,3,1,1,Rural,3,386351
3800,5,4,3,0,Suburban,28,464787
1863,2,2,1,2,Rural,49,192269
1140,3,4,3,3,Rural,49,164894
706,5,1,1,0,Rural,45,88683
2732,4,3,3,3,Rural,11,358193
2946,5,4,1,3,Rural,28,372611
1301,1,1,2,0,Suburban,30,146079
3960,5,2,2,3,Urban,33,473004
2692,3,3,1,3,Suburban,5,345341
1157,3,4,3,0,Urban,37,177942
2924,3,3,1,0,Suburban,37,330439
3218,1,2,2,3,Urban,11,390483
2663,1,2,2,2,Rural,46,268971
1019,2,3,1,2,Suburban,35,139369
2207,1,1,3,1,Urban,47,235181
2927,5,2,1,0,Suburban,46,327369
2886,2,4,2,3,Suburban,16,360911
2074,1,1,3,0,Urban,24,238024
2233,1,1,2,0,Urban,13,259102
2023,5,1,3,0,Suburban,28,259849
1942,3,2,3,1,Suburban,5,269999
3605,5,4,2,3,Suburban,23,454918
2671,3,2,3,3,Suburban,1,353459
3182,5,4,2,3,Suburban,50,386744
909,2,3,1,3,Suburban,39,125433
3044,3,1,2,2,Rural,26,337063
3782,3,3,2,0,Suburban,45,407854
1166,5,4,3,1,Suburban,20,210136
1309,3,1,2,1,Suburban,34,168471
1242,4,4,1,0,Rural,2,205473
888,1,1,3,3,Suburban,28,125275
3019,1,3,2,2,Urban,27,356353
3303,5,1,3,0,Urban,7,425694
3192,5,1,1,1,Urban,10,395393
2882,5,2,2,3,Urban,18,384986
1345,2,1,1,1,Urban,28,167484
865,5,3,1,2,Suburban,8,180807
1015,1,4,3,2,Urban,41,150491
855,5,4,2,3,Urban,15,196888
1357,2,4,3,0,Rural,11,194540
3141,5,4,1,2,Rural,24,393554
3908,3,4,1,1,Suburban,16,458314
1619,5,2,1,2,Suburban,11,241816
1568,5,1,2,3,Rural,18,229304
3270,4,2,1,0,Rural,15,377976
3904,1,3,1,1,Rural,0,438258
2349,1,3,1,0,Urban,16,284394
3917,1,4,1,3,Urban,43,430256
3519,3,1,1,0,Suburban,22,384895
3988,4,2,1,3,Rural,2,476198
3655,3,3,1,1,Suburban,47,395812
1995,3,1,1,3,Suburban,22,244577
802,4,1,2,3,Rural,8,144560
3282,2,2,1,1,Urban,29,365352
2476,3,4,1,0,Rural,49,269702
3652,2,3,2,3,Urban,8,448908
769,3,1,2,2,Rural,34,103838
3559,1,3,3,0,Suburban,4,416315
1756,3,4,1,3,Urban,18,264533
3139,5,4,2,3,Suburban,46,392012
2699,3,2,3,3,Rural,15,336161
1304,5,2,1,3,Rural,31,190814
3919,2,1,3,2,Urban,39,432240
1311,4,1,1,0,Urban,47,159141
3770,3,1,1,0,Rural,16,409079
3042,3,2,2,1,Suburban,20,363857
2423,5,4,3,1,Urban,18,356376
949,5,4,1,2,Rural,6,183608
981,5,3,2,3,Rural,2,195256
2489,1,2,1,3,Rural,42,255137
2669,2,3,3,3,Suburban,8,353794
894,4,1,2,3,Urban,27,162965
1844,1,1,1,0,Rural,27,178439
1230,3,4,3,1,Suburban,48,173785
3679,3,1,3,3,Suburban,21,427083
2183,5,2,1,2,Suburban,40,270138
3718,2,3,3,1,Urban,43,417946
3748,1,3,1,1,Suburban,31,401478
2252,5,2,1,3,Urban,4,324521
1236,4,1,1,1,Suburban,40,152999
1226,1,4,2,0,Urban,8,192143
651,4,1,3,1,Urban,7,153756
3968,3,2,2,0,Urban,23,457764
959,4,3,3,0,Suburban,10,181707
1609,4,2,1,3,Suburban,23,226693
2967,1,1,3,1,Suburban,4,341867
1497,1,4,1,0,Rural,27,173133
2089,1,3,2,3,Urban,40,250166
2800,5,2,2,0,Suburban,50,317725
1136,2,1,2,3,Urban,38,152671
1073,1,4,3,2,Rural,3,178484
2653,2,2,1,1,Rural,13,303916
1975,2,4,1,1,Suburban,44,223024
734,5,4,3,1,Urban,26,171262
3849,4,4,1,2,Urban,18,475504
3607,1,3,3,0,Suburban,6,424109
2284,3,4,1,0,Rural,33,260508
727,2,4,3,2,Urban,38,141674
2278,3,4,2,1,Suburban,23,290974
